Name,playerid,WAR23,WAR24,WAR25
Alberto Arias,3087,-0.2,0.2,0.6
Dick Drott,1003511,-0.6,-0.2,0.0
Wes Gardner,1004532,0.5,0.0,0.0
Bruce Hurst,1006222,0.2,0.4,2.6
John Rocker,1273,0.1,2.3,0.4
Ben Howard,1452,-0.4,-0.5,-0.3
Scott Feldman,6283,0.3,-0.4,0.6
Craig Anderson,1000221,-0.2,0.3,0.3
Larry Dierker,1003288,3.6,3.3,3.3
Dave Righetti,1010958,2.9,5.4,2.6
Bob Stanley,1012409,2.3,4.0,2.5
Chad Durbin,1442,1.4,-0.2,0.0
Rob Woodward,1014249,0.3,0.0,0.0
Noah Lowry,1833,1.6,3.5,1.3
Jo-Jo Reyes,5559,-0.1,0.0,-0.2
Philip Humber,8586,0.0,-0.1,-0.3
Dennis Leonard,1007531,0.2,2.4,3.8
Billy McCool,1008409,-0.7,-0.6,0.1
Ray Burris,1001729,0.3,2.4,2.8
Mike Moore,1009122,2.4,4.2,5.9
Bob Walk,1013507,2.0,-0.3,0.8
Oscar Villarreal,1654,-0.2,0.0,0.4
Aaron Laffey,6248,0.5,1.3,0.6
Mike Duvall,1003603,0.0,-0.3,0.0
Brian Holman,1005969,1.8,2.5,2.7
Gary Peters,1010228,0.1,0.3,0.1
Steve Woodard,1285,2.9,3.2,1.1
Joaquin Benoit,1437,-0.2,0.7,-0.1
James McDonald,5523,0.1,0.0,1.5
Hong-Chih Kuo,7016,0.0,1.4,0.4
Jamie Easterly,1003639,0.4,0.4,-0.4
Eric King,1006929,0.6,0.4,1.0
Ramon Martinez,1008193,2.9,1.1,1.9
Bob Welch,1013750,2.9,1.9,3.3
Bob Wickman,413,0.7,0.9,1.6
Ty Taubenheim,5561,0.2,-0.1,0.2
Jim Abbott,1000012,5.5,4.4,2.3
Mark Clark,1002296,-0.1,0.2,0.5
Mike Johnson,1006487,-0.1,-0.3,-0.2
Dave Lemanczyk,1007511,-0.5,1.0,0.5
Chuck Seelbach,1011718,-0.5,1.1,0.0
Jay Tibbs,1013055,2.6,2.8,0.6
Josh Beckett,510,4.0,3.3,4.2
Vladimir Nunez,532,0.0,1.1,0.0
Arthur Rhodes,1097,-0.4,0.5,0.2
Ismael Valdez,1283,3.9,2.2,2.2
J.P. Howell,8245,0.7,0.4,1.5
Rick Camp,1001901,0.2,0.3,0.0
Mark Langston,1007323,4.4,-0.7,4.1
Jack O'Connor,1009714,-0.7,0.8,-0.1
Gene Nelson,1009501,0.6,0.0,1.4
Marc Valdes,1013313,-0.2,0.0,1.0
Scott Aldred,1000115,0.1,-0.4,-0.2
Gordie Pladson,1010383,0.0,0.0,0.0
Mike Wallace,1013553,0.0,0.0,-0.2
Carlos Marmol,2790,-0.4,1.7,1.4
Dennis Bennett,1000838,1.1,1.3,1.5
Scott Chiamparino,1002183,0.8,0.2,0.5
Darold Knowles,1007058,-0.2,0.9,0.6
Gregg Olson,1009791,1.8,2.2,1.6
Joe Price,1010530,0.4,0.8,0.4
Chris Short,1011931,0.7,1.1,3.4
Bobby Witt,1014170,1.7,2.4,2.5
Jesse Crain,4817,-0.1,0.9,-0.3
Stan Belinda,1000792,0.6,-0.3,-0.3
Andy Hawkins,1005514,1.1,0.2,2.0
Billy Wynne,1014311,0.2,0.0,1.2
Kris Medlen,9417,0.7,1.0,0.2
Ed Halicki,1005228,0.6,4.4,3.3
Dave McNally,1008655,3.0,0.7,4.5
Bob Owchinko,1009914,1.6,0.2,0.6
Jerry Ujdur,1013269,-0.4,0.0,0.5
Matt Riley,164,0.2,0.3,-0.4
Brad Penny,535,4.6,1.0,3.1
Sterling Hitchcock,824,0.8,2.0,2.7
David Weathers,902,0.9,1.0,0.4
Darryl Kile,1163,0.8,2.4,0.8
Ken Holtzman,1005989,5.1,5.8,3.6
Rick Sutcliffe,1012734,2.7,-0.4,-0.3
Todd Stottlemyre,75,-0.2,1.2,2.7
Mike Mussina,837,5.3,2.8,3.4
Rod Beck,1730,2.7,1.4,-0.3
Chuck James,4886,0.1,0.7,0.4
David Robertson,8241,0.2,0.7,0.8
Larry Jaster,1006367,1.5,0.4,-1.0
John Strohmayer,1012626,0.6,0.1,0.2
Shawn Estes,873,1.3,3.6,1.8
Tim Lincecum,5705,3.0,7.2,7.5
Tommy Boggs,1001123,0.2,2.8,1.7
Bill Butler,1001771,0.1,0.2,-0.1
Curt Young,1014368,0.0,1.1,-1.2
Charles Nagy,397,0.0,3.2,7.0
John Thomson,453,3.3,2.6,0.2
Danny Frisella,1004365,-0.1,0.6,1.3
Roy Lee Jackson,1006311,0.0,-0.2,0.1
