Name,playerid,WAR29,WAR30,WAR31,WAR32
Paul Foytack,1004287,0.4,1.2,0.0,-0.6
Jimmy Key,1006885,2.4,5.3,2.7,5.2
Jason Marquis,105,1.7,3.2,-0.5,1.0
Tom Browning,1001566,1.8,2.7,1.5,0.8
Al Holland,1005947,1.0,2.1,-1.0,0.5
Frank Viola,1013435,5.0,5.8,2.5,3.7
Greg Swindell,76,1.2,1.0,-0.7,1.4
Greg Maddux,104,7.9,7.8,8.0,7.5
Rafael Soriano,1100,1.7,1.9,0.2,1.0
Jim Bunning,1001653,6.3,4.6,2.7,5.6
Greg Cadaret,1001810,1.6,-0.4,-0.2,-0.1
Mark Gardner,1004529,0.8,1.9,-0.1,0.4
Sonny Siebert,1011951,3.4,2.3,2.7,2.1
Jarrod Washburn,40,1.7,2.0,1.9,2.0
LaTroy Hawkins,729,1.6,2.6,1.4,0.2
Mike Hampton,430,0.3,2.6,1.9,1.0
George Frazier,1004308,1.2,-1.3,0.2,-0.1
Tim Leary,1007438,4.7,2.3,3.0,0.0
Bob Veale,1013391,8.0,5.3,2.0,2.6
Armando Benitez,865,1.0,0.9,1.6,-0.2
Steve Trachsel,898,2.4,2.0,2.1,1.8
Pat Zachry,1014407,0.6,0.7,0.3,-0.2
Joe Hesketh,1005747,1.2,-0.1,0.2,1.3
Barry Zito,944,1.6,1.3,2.0,1.8
Mike Timlin,1187,1.3,1.4,0.6,1.8
Pedro Borbon,1001195,1.0,1.3,0.2,0.3
Jeff Brantley,1001358,-0.6,1.0,0.2,1.2
Mark Eichhorn,1003712,2.1,1.9,1.6,1.0
Jack McDowell,1008473,3.5,3.5,0.5,0.9
Kevin Ritz,1010998,1.1,3.1,1.7,0.7
Dave Stieb,1012532,2.5,3.1,2.7,4.3
Heath Bell,2080,2.5,1.2,2.2,2.3
Rick Aguilera,1000086,1.5,0.8,1.0,0.8
Dick Ruthven,1011330,3.2,1.6,2.2,2.3
Scott Downs,773,1.0,0.5,1.1,1.0
Trevor Hoffman,1035,2.3,3.1,2.2,2.6
Jim Acker,1000030,-0.3,1.9,0.3,-0.8
Gene Garber,1004493,2.3,1.2,1.1,0.9
Bruce Hurst,1006222,3.5,3.8,5.2,4.0
Mark Leiter,1007501,1.5,0.3,0.7,2.5
Tippy Martinez,1008200,2.2,1.6,0.6,1.8
Scott Feldman,6283,2.3,2.2,1.2,0.8
Larry Jackson,1006304,6.1,4.0,4.1,6.6
