Name,playerid,WAR29,WAR30
Jim Acker,1000030,-0.3,1.9
Gene Garber,1004493,2.3,1.2
Wes Gardner,1004532,0.8,0.0
Bruce Hurst,1006222,3.5,3.8
Mark Leiter,1007501,1.5,0.3
Tippy Martinez,1008200,2.2,1.6
Jason Christiansen,1111,0.5,0.9
Javier Lopez,1663,0.1,0.1
Larry Dierker,1003288,2.3,-0.5
Larry Jackson,1006304,6.1,4.0
Dave Righetti,1010958,1.4,1.2
Bob Stanley,1012409,1.1,0.7
Wes Stock,1012553,-0.5,0.7
Chad Durbin,1442,-0.2,1.0
Tom Bolton,1001155,0.0,-0.1
Alvin Morman,1009193,-0.1,0.1
Odalis Perez,668,1.3,1.1
Brian Sanches,2739,-0.1,0.3
John Dopson,1003404,1.8,0.4
Dennis Leonard,1007531,3.5,3.7
Paul Mitchell,1009009,0.7,1.1
Donn Pall,1009968,0.3,-0.6
Jeff Robinson,1011073,0.4,-0.4
Steve Shields,1011892,0.3,-0.1
Dave Stevens,1012508,-0.1,-0.1
Kirk Bullinger,552,0.0,0.2
Ray Burris,1001729,0.6,1.2
Guy Hoffman,1005906,1.0,1.2
Mike Moore,1009122,4.4,1.3
Tim Pugh,1010560,-0.6,0.2
Mark Thurmond,1013052,0.4,0.3
Bob Walk,1013507,0.2,1.1
Brett Tomko,1056,1.3,1.0
Ryan Bukvich,1531,-0.6,-0.2
Jack Billingham,1000970,2.5,3.7
Bill Campbell,1001874,1.8,0.2
Dan Osinski,1009875,0.4,1.0
Gary Peters,1010228,4.2,4.6
Carl Willey,1013965,0.1,0.6
Joaquin Benoit,1437,1.8,-0.2
Jamie Easterly,1003639,-0.5,0.3
Ramon Martinez,1008193,1.3,1.9
Dennis Rasmussen,1010703,2.4,0.8
Doug Sisk,1012017,0.4,0.0
Bob Welch,1013750,5.4,4.5
Bob Wickman,413,1.0,0.8
Frank Baumann,1000683,0.6,-0.3
Norm Charlton,1002160,1.5,0.8
Mark Clark,1002296,2.2,4.1
Arthur Rhodes,1097,-0.4,1.6
Steve Kline,1164,0.7,-0.1
Ismael Valdez,1283,0.2,-0.5
Jason Bulger,3915,-0.1,0.6
Rick Camp,1001901,0.8,0.8
Mark Knudson,1007065,1.8,-0.4
Mark Langston,1007323,4.6,3.0
Ray Semproch,1011744,-0.1,-0.1
Tim Stoddard,1012556,0.5,-0.6
Kiko Calero,1676,0.7,0.7
Tom House,1006064,-0.1,0.8
Gene Nelson,1009501,0.6,-1.6
Scott Dohmann,1936,0.0,-0.1
Scott Aldred,1000115,-0.9,0.4
Fred Gladding,1004751,0.0,0.5
Mark Hendrickson,1574,1.7,2.2
Dave Johnson,1006442,0.0,0.1
Darold Knowles,1007058,0.6,0.0
Gregg Olson,1009791,-0.2,0.3
Joe Price,1010530,-0.1,0.3
Chris Short,1011931,3.4,2.1
Bobby Witt,1014170,3.2,0.9
Michael Gonzalez,1794,0.3,0.1
Stan Belinda,1000792,-0.2,1.2
Gene Conley,1002507,4.4,1.7
Andy Hawkins,1005514,1.1,0.0
Roger Pavlik,1010087,0.4,0.0
Chad Zerbe,1140,0.3,0.0
Jim Corsi,1002644,0.3,0.2
Dave McNally,1008655,3.0,3.2
Jim Todd,1013097,0.1,0.3
Brad Penny,535,4.4,0.0
Sterling Hitchcock,824,0.4,1.2
David Weathers,902,0.1,0.5
Darryl Kile,1163,3.2,0.9
Arnold Earley,1003626,0.2,0.9
Ken Holtzman,1005989,3.6,1.7
Bob Lee,1007449,0.3,-0.5
Rob Murphy,1009374,1.9,-0.6
Rick Sutcliffe,1012734,2.4,1.5
Todd Stottlemyre,75,2.0,4.1
Mike Mussina,837,5.1,6.0
Alan Embree,1030,0.5,0.6
Rodney Myers,1511,0.0,-0.1
Rod Beck,1730,1.1,0.1
Steve Mingori,1008978,-0.1,0.7
Ron Schueler,1011622,-0.2,-0.7
Elmer Dessens,317,3.0,2.2
Shawn Estes,873,1.5,0.6
Warren Brusstar,1001599,-0.1,0.1
Joe Gibbon,1004658,1.7,1.3
Curt Young,1014368,0.4,-0.2
Charles Nagy,397,5.4,2.9
John Thomson,453,3.9,3.2
Tim Crabtree,1002715,1.4,1.0
Danny Frisella,1004365,-0.2,-0.7
Doug Henry,1005668,-0.2,-0.7
Roy Lee Jackson,1006311,0.4,-0.1
Randy Jones,1006582,3.6,1.2
Ryan Drese,379,1.3,0.1
Tom Candiotti,1001911,1.3,4.5
Dick Ellsworth,1003754,1.9,0.4
Mike Remlinger,111,-0.1,-0.3
Alan Benes,265,-0.3,1.1
Jesse Orosco,667,0.4,1.6
Scott Cassidy,1293,-0.1,-0.1
Dock Ellis,1003747,3.0,1.9
Alex Fernandez,1003993,3.1,0.6
Mike Flanagan,1004133,1.5,2.7
Jim Hannan,1005316,-0.2,-0.1
Rick Honeycutt,1005992,2.8,1.9
Mitch Williams,1014025,-0.8,-0.5
Bill Wilson,1014064,0.3,-0.7
Brandon Webb,1692,5.4,-0.2
Tim Belcher,1000789,4.1,3.1
Steve Carlton,1001964,5.3,3.5
Jim Kaat,1006660,3.9,3.5
Matt Karchner,1006697,-0.7,0.2
Eric Plunk,1010400,1.5,1.6
Bill Singer,1012007,6.2,2.6
Tom Tellmann,1012907,0.3,-0.1
Ray Washburn,1013652,2.3,3.7
Al Levine,20,-0.2,0.1
Jorge Julio,148,0.1,-0.3
Shawn Chacon,424,0.5,-0.1
Braden Looper,526,1.7,-0.6
Geremi Gonzalez,1711,0.0,0.2
Joaquin Andujar,1000266,5.5,1.6
Andy Messersmith,1008799,5.9,3.7
Stephen Randolph,1655,-0.1,-0.8
Dave Telgheder,1012906,0.8,0.6
Matt Clement,271,3.0,2.6
Kyle Farnsworth,278,1.5,1.1
Ricardo Rincon,401,0.0,0.3
Doug Brocail,551,-0.2,0.4
Randy Wolf,976,-0.1,1.9
