Name,playerid,WAR25,WAR26,WAR27,WAR28
Mark Gubicza,1005115,6.2,6.3,1.6,2.1
Melido Perez,1010183,2.0,5.9,2.4,2.6
Jim Shellenback,1011859,0.2,1.4,0.2,0.1
Luis Tiant,1013054,2.5,3.7,7.4,0.5
Tony Pena,4573,0.7,1.0,0.7,0.2
Bud Black,1001007,0.3,1.1,4.3,3.6
Ron Perranoski,1010201,0.9,1.7,0.0,0.5
J.C. Romero,754,0.3,1.6,-0.5,1.0
Jorge Sosa,1228,-0.4,0.8,0.2,1.1
Blue Moon Odom,1009726,0.2,0.1,0.9,0.8
Marty Pattin,1010074,0.1,0.2,4.3,3.4
Walt Terrell,1012924,1.3,1.7,4.8,0.6
Bartolo Colon,375,4.4,3.8,4.3,3.9
Daniel Cabrera,1931,2.6,1.7,0.1,-0.3
Joe Blanton,4849,3.2,5.3,1.8,2.1
Ray Sadecki,1011360,-0.3,4.0,4.6,0.7
Lee Smith,1012175,2.4,2.1,2.7,1.8
Eric Gagne,650,1.3,3.6,4.7,3.4
Glendon Rusch,707,4.7,3.2,1.6,2.1
Kyle Lohse,739,1.0,1.6,1.5,3.0
Carlos Reyes,1721,0.4,-0.1,0.2,-0.2
Felix Hernandez,4772,5.3,6.6,6.1,5.6
Steve Ontiveros,1009826,0.1,1.7,0.7,0.1
Jose Paniagua,483,0.7,0.9,-0.3,-0.6
Oliver Perez,1514,2.7,1.6,-0.6,-1.1
Bert Blyleven,1001098,6.7,4.9,5.2,3.4
Bob Hendley,1005637,1.0,-0.9,0.4,-0.8
Orel Hershiser,1005741,4.0,5.4,3.6,5.6
Anibal Sanchez,3284,0.7,4.2,3.7,3.5
Jeremy Hellickson,4371,0.8,1.3,0.2,1.0
Chris Sale,10603,5.1,5.6,5.4,7.5
Rich Gossage,1004894,4.2,2.4,1.0,3.2
Dave Smith,1012117,1.9,1.1,-0.6,0.2
Javier Vazquez,801,4.6,6.0,2.0,3.5
C.J. Wilson,3580,0.0,0.7,-0.5,1.8
Bill Lee,1007448,0.3,5.2,3.7,3.5
Bruce Ruffin,1011294,0.7,0.9,2.2,-0.3
Tom Glavine,90,5.4,4.6,3.3,3.6
Dennis Martinez,1008161,-0.2,2.8,1.9,0.7
Ralph Terry,1012929,2.6,4.0,3.3,0.3
Scott Schoeneweis,33,0.3,1.7,2.0,0.1
Mike Koplove,63,1.0,0.4,0.5,-0.2
Larry Gura,1005150,0.7,1.1,1.8,0.0
Kevin Correia,1767,1.0,1.1,0.4,3.1
Tommy Greene,1005013,0.2,4.8,0.1,-0.3
Erik Hanson,1005333,6.6,3.5,3.1,4.9
Greg Harris,1005416,2.0,1.8,2.0,0.8
Calvin Schiraldi,1011563,0.3,2.8,-0.3,0.0
Larry Sherry,1011883,0.8,-0.2,-0.3,0.1
Blake Stein,632,0.1,0.7,0.3,0.1
Eddie Guardado,727,0.3,0.4,0.0,0.4
Burke Badenhop,9736,0.1,0.9,0.3,0.8
Pete Broberg,1001454,0.8,-0.8,-0.7,1.4
Frank Reberger,1010745,0.1,0.7,-0.1,0.4
Jason Hammel,4538,-0.2,3.5,3.2,1.1
Randy Myers,1009427,1.7,1.6,2.0,1.3
John Lackey,1507,3.1,5.3,5.3,5.0
Matt Whiteside,1956,0.3,0.2,0.9,-0.4
Homer Bailey,8362,1.3,2.4,3.9,1.7
Jimmy Key,1006885,3.4,5.6,1.6,4.6
Dale Murray,1009383,1.6,1.1,-0.9,0.3
Jason Marquis,105,1.8,0.7,-0.5,1.4
Andrew Cashner,8782,0.4,2.6,1.8,1.9
Tom Browning,1001566,3.0,3.2,1.5,0.6
Frank Viola,1013435,3.9,2.9,5.4,6.3
Greg Swindell,76,2.7,5.9,4.6,2.0
Greg Maddux,104,5.8,7.0,7.5,7.4
Logan Ondrusek,3677,0.0,-0.2,-0.8,0.1
Tom Bradley,1001316,5.9,2.6,0.8,-0.4
Greg Cadaret,1001810,-0.3,1.2,1.2,0.8
Ross Detwiler,2859,0.3,1.5,1.0,-0.2
Dave Bush,4635,1.2,3.8,2.2,1.3
John Maine,4773,0.9,3.2,1.7,0.8
Ken McBride,1008344,4.1,1.8,2.5,-1.1
Paul Moskau,1009245,0.7,2.1,-0.4,-0.4
Bob Sadowski,1011363,1.7,0.2,1.2,0.2
Jarrod Washburn,40,0.3,2.5,4.2,1.6
LaTroy Hawkins,729,1.6,1.4,1.1,-0.1
Brian Meadows,998,-0.1,0.7,0.8,0.8
Clayton Kershaw,2036,7.3,8.0,8.7,6.4
Bryan Harvey,1005469,2.3,0.5,1.4,3.0
Mike Hampton,430,2.3,4.9,4.6,1.9
Billy Koch,924,1.8,0.2,1.3,-0.3
Trevor Cahill,6249,0.7,0.6,0.1,-0.1
Jeanmar Gomez,9033,0.2,-0.5,0.9,0.5
Tim Leary,1007438,0.5,0.5,2.5,0.1
Armando Benitez,865,0.4,3.1,1.5,0.3
Steve Trachsel,898,1.6,1.7,1.8,2.5
David Hernandez,4259,0.8,1.1,2.0,-0.3
Ian Kennedy,6986,1.6,4.4,2.3,0.4
Dick Stigman,1012534,0.5,1.5,3.3,1.5
Pat Zachry,1014407,1.2,1.4,0.2,0.9
Wayne Granger,1004945,0.8,0.4,0.1,0.0
Matt Young,1014385,1.3,3.5,1.7,1.1
Barry Zito,944,4.4,3.1,3.0,2.2
Mike Timlin,1187,1.5,0.7,0.2,0.2
Ryan Madson,1852,0.9,0.4,1.2,1.2
Juan Oviedo,2886,0.4,0.7,-0.8,1.4
Greg Holland,7196,1.8,2.3,3.1,2.3
Jim Beattie,1000731,1.0,1.7,4.2,4.5
Pedro Borbon,1001195,0.7,1.2,0.6,0.8
Ted Bowsfield,1001273,0.8,2.1,1.5,0.4
Jeff Brantley,1001358,-0.1,1.4,-0.2,0.3
Mark Eichhorn,1003712,4.9,0.8,0.0,0.5
Jack McDowell,1008473,5.2,4.8,5.2,4.9
Bill Monbouquette,1009048,5.2,5.4,3.0,2.8
Dave Stieb,1012532,5.1,5.6,4.5,0.8
Steve Arlin,1000303,3.4,1.2,-0.2,0.4
Dick Ruthven,1011330,3.9,2.1,3.4,1.6
Trevor Hoffman,1035,0.4,1.6,0.1,2.9
Wilson Alvarez,1193,1.5,4.2,3.8,1.3
Matt Andriese,12022,0.4,1.9,0.5,0.0
Jim Acker,1000030,0.6,-0.1,1.5,0.2
Gene Garber,1004493,1.0,-0.1,0.4,1.8
Bruce Hurst,1006222,2.6,1.8,3.3,4.2
Tippy Martinez,1008200,-0.4,0.4,0.3,0.5
Jason Christiansen,1111,0.1,-0.2,0.4,1.7
Scott Feldman,6283,0.6,2.9,1.2,0.2
Mychal Givens,10430,0.9,1.2,1.1,1.8
Dave Righetti,1010958,2.6,2.7,3.0,1.2
Bob Stanley,1012409,2.5,0.3,2.0,2.3
Odalis Perez,668,4.9,2.2,2.9,1.6
Dennis Leonard,1007531,3.8,7.9,4.7,2.5
Paul Mitchell,1009009,0.1,1.5,-0.2,0.8
Jeff Robinson,1011073,1.7,1.6,-0.2,-0.8
Dave Stevens,1012508,-0.9,-0.6,-0.5,-0.1
Ray Burris,1001729,2.8,2.1,1.8,0.1
Mike Moore,1009122,5.9,3.7,3.1,4.6
Tim Pugh,1010560,0.7,1.3,0.1,0.0
Brett Tomko,1056,3.6,1.4,0.5,-0.5
Jack Billingham,1000970,0.3,-0.2,3.7,4.1
Bill Campbell,1001874,2.2,0.7,1.7,1.7
Joaquin Benoit,1437,-0.1,1.0,1.5,1.2
Hong-Chih Kuo,7016,0.4,2.2,0.4,2.3
Eric King,1006929,1.0,2.2,2.6,0.3
Ramon Martinez,1008193,1.9,1.9,2.2,2.0
Dennis Rasmussen,1010703,1.7,1.2,1.8,1.1
Doug Sisk,1012017,-0.3,-0.8,-0.5,0.3
Bob Welch,1013750,3.3,3.7,2.8,2.1
Bob Wickman,413,1.6,0.8,0.6,1.1
Jim Abbott,1000012,2.3,1.3,3.5,0.0
Norm Charlton,1002160,0.6,1.4,2.4,1.9
Mark Clark,1002296,0.5,1.6,1.8,3.7
Dave Lemanczyk,1007511,0.5,3.4,0.2,2.1
Jay Tibbs,1013055,0.6,0.8,0.9,0.2
Josh Beckett,510,4.2,1.0,5.7,4.3
Arthur Rhodes,1097,0.2,1.0,1.9,1.0
Steve Kline,1164,0.8,0.6,1.1,1.2
Ismael Valdez,1283,2.2,0.4,2.0,2.4
Rick Krivda,1007168,1.2,0.3,0.5,-0.8
Mark Langston,1007323,4.1,6.4,4.0,4.8
Hector Santiago,4026,1.3,0.5,0.6,0.7
Gene Nelson,1009501,1.4,1.8,0.5,1.0
Carlos Marmol,2790,1.4,0.8,2.7,0.6
Dennis Bennett,1000838,1.5,0.9,-0.2,0.0
Darold Knowles,1007058,0.6,0.9,0.2,0.8
Joe Price,1010530,0.4,2.0,1.8,0.3
Chris Short,1011931,3.4,5.6,6.5,3.3
Bobby Witt,1014170,2.5,5.0,0.9,1.3
Zach Day,1496,1.4,1.2,-0.2,0.0
Stan Belinda,1000792,-0.3,1.0,0.0,1.2
Andy Hawkins,1005514,2.0,1.3,0.3,1.5
Roger Pavlik,1010087,1.9,0.0,3.2,2.4
Ed Halicki,1005228,3.3,3.3,3.3,0.9
Dave McNally,1008655,4.5,4.7,4.9,1.8
Brad Penny,535,3.1,3.0,3.5,3.6
Sterling Hitchcock,824,2.7,0.7,1.5,3.0
Darryl Kile,1163,0.8,1.7,3.7,4.0
Ken Holtzman,1005989,3.6,2.7,5.0,5.5
Rick Sutcliffe,1012734,-0.3,3.5,3.0,6.0
Todd Stottlemyre,75,2.7,2.6,1.4,3.0
Mike Mussina,837,3.4,5.1,5.3,5.4
Rod Beck,1730,-0.3,0.0,0.4,1.1
David Robertson,8241,0.8,2.3,1.5,1.3
Ron Schueler,1011622,1.8,1.5,0.9,0.4
Shawn Estes,873,1.8,2.4,3.0,2.1
Tim Lincecum,5705,7.5,4.3,3.5,0.9
Tony Sipp,8280,0.3,-0.6,0.2,0.0
Joe Gibbon,1004658,1.3,4.2,0.5,2.5
Curt Young,1014368,-1.2,2.8,1.5,0.0
Charles Nagy,397,7.0,0.6,3.5,3.2
Tim Crabtree,1002715,0.3,1.4,-0.3,1.2
Danny Frisella,1004365,1.3,0.0,-0.2,-0.2
Chuck Hartenstein,1005442,0.1,-0.1,-0.3,-0.6
Randy Jones,1006582,4.3,4.6,1.5,4.1
Ryan Drese,379,0.6,1.4,-0.1,3.4
Hector Rondon,2391,-0.2,1.7,1.6,0.6
