Name,playerid,WAR1,WAR2,WAR3,WAR4,WAR5,WAR6,WAR7,WAR8,WAR9
Kevin Gross,1005088,0.5,1.3,3.6,1.5,0.8,2.4,1.6,2.4,0.9
Don Gullett,1005134,0.9,2.6,1.0,2.5,4.2,2.4,1.3,2.4,0.6
Fritz Peterson,1010227,3.5,2.8,3.6,6.8,4.4,4.1,2.9,1.3,1.5
Bryn Smith,1012104,0.6,1.7,2.1,5.1,2.1,2.5,3.2,3.2,2.4
Zack Greinke,1943,1.8,2.0,2.1,4.2,8.6,4.9,3.2,4.8,3.5
Ubaldo Jimenez,3374,0.9,4.2,5.3,5.9,3.3,0.9,3.5,0.4,2.6
Ricky Nolasco,3830,1.2,4.3,4.2,2.2,3.2,2.3,3.5,1.3,0.8
Paul Maholm,8678,0.6,1.4,1.8,3.2,3.7,1.8,2.0,1.7,0.5
David Cone,1680,0.5,5.3,3.3,5.0,6.5,5.2,3.9,3.8,4.5
Nelson Briles,1001432,1.0,1.2,2.1,2.4,3.4,0.7,1.2,3.5,2.7
Mark Gubicza,1005115,2.7,2.2,3.0,3.8,6.2,6.3,1.6,2.1,2.1
Luis Tiant,1013054,2.0,2.8,2.5,3.7,7.4,0.5,0.5,0.9,3.6
Bud Black,1001007,0.3,1.1,4.3,3.6,0.1,1.1,0.6,3.4,2.4
Steve Farr,1003953,1.0,0.6,0.9,0.8,1.5,0.8,1.6,1.4,1.1
Ron Perranoski,1010201,0.9,1.7,0.0,0.5,0.4,0.2,0.3,0.5,1.2
J.C. Romero,754,0.6,0.3,1.6,-0.5,1.0,-0.5,0.0,0.0,-0.2
Blue Moon Odom,1009726,1.3,-0.1,2.7,2.9,0.2,0.1,0.9,0.8,0.3
Marty Pattin,1010074,0.1,0.2,4.3,3.4,4.6,1.8,1.0,2.3,1.4
Walt Terrell,1012924,1.3,1.7,4.8,0.6,3.2,1.5,1.7,0.0,2.7
Bartolo Colon,375,0.7,4.4,3.8,4.3,3.9,4.4,4.7,1.4,4.1
Joe Blanton,4849,2.2,3.2,5.3,1.8,2.1,1.8,0.6,2.5,-0.4
Ray Sadecki,1011360,1.4,1.8,0.7,1.2,3.7,1.2,-0.3,4.0,4.6
Lee Smith,1012175,0.9,2.7,2.4,2.1,2.7,1.8,2.9,1.6,1.5
Glendon Rusch,707,1.5,1.5,4.7,3.2,1.6,2.1,2.8,2.3,-0.9
Kyle Lohse,739,0.3,1.2,2.8,1.0,1.6,1.5,3.0,2.8,0.7
Felix Hernandez,4772,2.3,3.3,3.5,3.6,7.0,6.8,5.3,6.6,6.1
Oliver Perez,1514,0.6,0.4,4.5,-0.8,0.1,2.7,1.6,-0.6,-1.1
Bert Blyleven,1001098,3.6,7.5,5.9,10.8,8.5,6.2,6.7,4.9,5.2
Orel Hershiser,1005741,4.0,5.4,3.6,5.6,4.0,5.6,2.5,2.3,3.0
Anibal Sanchez,3284,1.9,0.0,0.3,0.7,4.2,3.7,3.5,5.8,3.3
Jeremy Hellickson,4371,0.5,2.0,0.8,1.3,0.2,1.0,3.3,0.2,1.2
Rich Gossage,1004894,0.5,-0.8,0.7,4.0,2.0,4.2,2.4,1.0,3.2
Dave Smith,1012117,1.9,1.1,-0.6,0.2,0.3,1.3,0.2,2.8,0.9
