"Name","playerid","WAR1","WAR2","WAR3","WAR4","WAR5","WAR6","WAR7","WAR8","WAR9","WAR10","WAR11","WAR12","WAR13","Cluster"
"Marty Pattin","1010074","0.1","0.2","4.3","3.4","4.6","1.8","1","2.3","1.4","0.3","-0.1","0.7","0.4","B"
"Bartolo Colon","    375","0.7","4.4","3.8","4.3","3.9","4.4","4.7","1.4","4.1","0.3","1","0.5","0.2","D"
"Ray Sadecki","1011360","1.4","1.8","0.7","1.2","3.7","1.2","-0.3","4","4.6","0.7","1","3.2","0.4","B"
"Lee Smith","1012175","0.9","2.7","2.4","2.1","2.7","1.8","2.9","1.6","1.5","2.4","2","1.2","0.1","E"
"Kyle Lohse","    739","0.3","1.2","2.8","1","1.6","1.5","3","2.8","0.7","0.5","2.2","3.3","1.7","G"
"Felix Hernandez","   4772","2.3","3.3","3.5","3.6","7","6.8","5.3","6.6","6.1","5.6","2.7","1.1","0.4","K"
"Oliver Perez","   1514","0.6","0.4","4.5","-0.8","0.1","2.7","1.6","-0.6","-1.1","0.8","0.4","0.5","0.1","A"
"Bert Blyleven","1001098","3.6","7.5","5.9","10.8","8.5","6.2","6.7","4.9","5.2","3.4","3.9","3.9","4.1","M"
"Orel Hershiser","1005741","4","5.4","3.6","5.6","4","5.6","2.5","2.3","3","1.1","2.5","3.8","1.4","H"
"Anibal Sanchez","   3284","1.9","0","0.3","0.7","4.2","3.7","3.5","5.8","3.3","1.3","0.9","0.6","2.5","D"
"Rich Gossage","1004894","0.5","-0.8","0.7","4","2","4.2","2.4","1","3.2","1.4","3.6","3.5","1.5","F"
"Javier Vazquez","    801","0.5","2.2","5.2","6.1","4.6","6","2","3.5","4.7","4.8","4.9","5.8","0.1","C"
"Bill Lee","1007448","-0.2","0.5","1.1","0.3","5.2","3.7","3.5","-0.2","1.2","0.7","1.8","0.3","0.8","B"
"Tom Glavine","     90","0","2","2","2.9","5.4","4.6","3.3","3.6","4.3","5.3","3.6","4.8","4.2","L"
"Dennis Martinez","1008161","2.3","3.8","4.3","-0.2","2.8","1.9","0.7","0.1","0","1","2.8","2.2","3.1","E"
"Larry Gura","1005150","-0.2","0.7","1.1","1.8","0","1.1","3.1","1.3","4.1","2.7","1.9","0.1","-0.4","J"
"Jim Brewer","1001406","0.3","-0.5","1.1","0.2","0.8","0.2","0.8","0.7","1.1","0.6","0.1","0.1","0.6","A"
"Eddie Guardado","    727","0.5","0.3","0.3","0.4","0","0.4","-0.5","1.4","1.2","1.4","0.2","0.8","-0.3","A"
"Jason Hammel","   4538","0.3","0.3","-0.2","3.5","3.2","1.1","2.6","0.6","1.8","2.3","1.3","2.4","0.9","B"
"John Lackey","   1507","1.9","1.8","3.1","5.3","5.3","5","1.4","3.2","3.4","0.9","2.4","2.5","3.5","H"
"Jimmy Key","1006885","-0.4","2.8","3.4","5.6","1.6","4.6","2.4","5.3","2.7","5.2","4","0.6","2.7","C"
"Jason Marquis","    105","1.2","0.3","0","1.8","0.7","-0.5","1.4","1.7","3.2","-0.5","1","-0.2","-1.3","A"
"Frank Viola","1013435","0.9","0.1","3.5","3.9","2.9","5.4","6.3","5","5.8","2.5","3.7","2.7","0.3","C"
