Name,playerid,WAR27,WAR28,WAR29,WAR30,WAR31,WAR32
Greg Swindell,76,4.6,2.0,1.2,1.0,-0.7,1.4
Greg Maddux,104,7.5,7.4,7.9,7.8,8.0,7.5
Greg Cadaret,1001810,1.2,0.8,1.6,-0.4,-0.2,-0.1
Sonny Siebert,1011951,2.6,5.4,3.4,2.3,2.7,2.1
Jarrod Washburn,40,4.2,1.6,1.7,2.0,1.9,2.0
LaTroy Hawkins,729,1.1,-0.1,1.6,2.6,1.4,0.2
Mike Hampton,430,4.6,1.9,0.3,2.6,1.9,1.0
George Frazier,1004308,1.0,1.3,1.2,-1.3,0.2,-0.1
Tim Leary,1007438,2.5,0.1,4.7,2.3,3.0,0.0
Bob Veale,1013391,1.4,6.5,8.0,5.3,2.0,2.6
Armando Benitez,865,1.5,0.3,1.0,0.9,1.6,-0.2
Steve Trachsel,898,1.8,2.5,2.4,2.0,2.1,1.8
Pat Zachry,1014407,0.2,0.9,0.6,0.7,0.3,-0.2
Barry Zito,944,3.0,2.2,1.6,1.3,2.0,1.8
Mike Timlin,1187,0.2,0.2,1.3,1.4,0.6,1.8
Pedro Borbon,1001195,0.6,0.8,1.0,1.3,0.2,0.3
Jeff Brantley,1001358,-0.2,0.3,-0.6,1.0,0.2,1.2
Mark Eichhorn,1003712,0.0,0.5,2.1,1.9,1.6,1.0
Jack McDowell,1008473,5.2,4.9,3.5,3.5,0.5,0.9
Dave Stieb,1012532,4.5,0.8,2.5,3.1,2.7,4.3
Heath Bell,2080,0.7,0.1,2.5,1.2,2.2,2.3
Rick Aguilera,1000086,3.6,1.3,1.5,0.8,1.0,0.8
Dick Ruthven,1011330,3.4,1.6,3.2,1.6,2.2,2.3
Trevor Hoffman,1035,0.1,2.9,2.3,3.1,2.2,2.6
Jim Acker,1000030,1.5,0.2,-0.3,1.9,0.3,-0.8
Gene Garber,1004493,0.4,1.8,2.3,1.2,1.1,0.9
Bruce Hurst,1006222,3.3,4.2,3.5,3.8,5.2,4.0
Tippy Martinez,1008200,0.3,0.5,2.2,1.6,0.6,1.8
Scott Feldman,6283,1.2,0.2,2.3,2.2,1.2,0.8
Dave Righetti,1010958,3.0,1.2,1.4,1.2,-0.4,0.6
Bob Stanley,1012409,2.0,2.3,1.1,0.7,0.8,1.9
Wes Stock,1012553,0.9,-0.4,-0.5,0.7,-1.4,0.1
Jose Veras,2063,0.0,-0.3,0.1,0.7,0.3,0.7
Dennis Leonard,1007531,4.7,2.5,3.5,3.7,0.3,1.2
Donn Pall,1009968,0.3,0.0,0.3,-0.6,0.8,0.3
Ray Burris,1001729,1.8,0.1,0.6,1.2,-0.5,1.5
Mike Moore,1009122,3.1,4.6,4.4,1.3,3.4,1.4
