Name,playerid,WAR22,WAR23,WAR24,WAR25,WAR26,WAR27,WAR28,WAR29
Floyd Bannister,1000516,1.7,0.0,2.3,4.2,1.8,4.9,5.0,2.0
Jose DeLeon,1003168,3.0,2.9,1.8,0.8,2.4,4.6,4.6,2.8
Rollie Fingers,1004051,0.2,1.6,1.0,1.5,2.4,3.3,2.2,4.1
Jon Garland,232,2.2,1.7,1.9,3.5,3.6,3.5,1.3,1.8
Jaime Navarro,1009465,1.8,2.1,3.1,4.0,2.4,1.0,3.3,3.2
Jack Fisher,1004090,2.5,0.5,0.1,1.5,2.4,2.0,1.4,1.5
Mickey Lolich,1007712,1.9,4.4,5.1,2.2,4.6,3.2,6.0,5.1
Dave LaPoint,1007338,1.8,1.9,3.0,2.4,-0.1,1.1,3.2,0.5
Randy Lerch,1007551,0.6,1.8,2.3,0.5,1.0,0.3,-0.3,0.4
Bill Caudill,1002088,0.5,1.0,-0.1,3.2,0.2,2.0,-0.3,-0.2
Nolan Ryan,1011348,1.7,1.1,0.6,5.4,8.7,6.8,2.4,5.3
Neil Allen,1000154,0.8,0.7,0.6,0.9,0.3,-0.4,1.8,0.4
Bruce Kison,1006978,1.0,0.2,0.9,1.7,3.2,2.0,1.5,3.0
Sam McDowell,1008476,8.7,4.4,2.8,6.8,9.4,7.6,1.4,1.6
Bret Saberhagen,1011355,3.5,5.2,5.5,7.5,2.9,4.4,2.0,3.3
Mike LaCoss,1007240,0.6,2.0,1.3,-0.1,0.2,0.1,1.8,0.0
Scott Sanderson,1011422,2.5,2.7,2.2,2.9,0.6,3.6,2.2,2.7
Kelvim Escobar,1298,1.9,2.3,1.9,2.7,0.5,3.4,4.2,1.5
Jack Morris,1009211,0.5,0.3,3.6,3.7,2.7,2.2,6.2,4.0
Dickie Noles,1009620,1.0,0.4,0.8,2.1,1.7,0.0,1.0,-0.9
Pete Falcone,1003910,2.5,-0.4,-0.8,0.8,1.0,1.2,-0.5,-0.3
Ricky Bones,1001161,0.9,-0.4,0.5,2.3,1.1,-0.4,0.3,0.4
Ray Culp,1002869,0.4,2.4,-0.5,0.4,3.8,4.1,5.3,4.6
Pedro Martinez,200,3.4,3.0,5.1,8.5,5.7,11.6,9.4,5.5
Bobby Thigpen,1012958,0.7,0.7,0.9,-1.1,1.6,-1.2,0.1,-0.3
Dick Bosman,1001215,0.3,0.9,0.9,4.2,4.1,1.0,2.6,-0.6
Don Wilson,1014071,3.2,3.8,4.4,2.1,5.0,4.4,2.4,1.1
Bill Bonham,1001165,-0.2,0.9,2.8,5.4,3.7,2.3,4.1,2.1
Tom Underwood,1013281,2.2,1.0,2.0,2.7,2.7,1.3,1.3,0.9
Moose Haas,1005172,0.3,1.3,4.0,1.9,3.6,2.9,3.1,2.1
Joe Coleman,1002428,2.8,2.0,7.1,3.9,4.4,1.5,1.2,1.4
John Denny,1003210,2.1,1.4,1.4,2.7,-0.2,1.9,2.2,2.2
Sid Fernandez,1004001,3.1,4.0,1.9,3.3,3.2,3.2,0.8,4.9
Omar Olivares,1009771,0.6,1.5,1.5,-0.1,-0.5,0.0,2.0,1.9
Len Barker,1000546,-0.5,2.4,5.2,4.6,5.8,3.0,2.3,0.2
Brandon Morrow,9346,0.3,0.5,0.3,3.2,2.9,2.5,-0.2,0.4
Ervin Santana,3200,1.6,3.0,0.8,5.3,0.8,2.1,2.5,-0.8
Kip Wells,1012,0.9,0.7,1.4,2.3,2.1,1.9,0.4,0.4
